"Semi Finished Goods Receipt","半成品入库"
"Finished Goods Receipt","成品入库"
"成品入库接口逻辑暂未实现。","成品入库接口逻辑暂未实现。"
"物料移动草稿已创建。","物料移动草稿已创建。"
"缺少物料移动类型 stock_entry_type","缺少物料移动类型 stock_entry_type"
"MES 入库接口仅支持移动类型：{0}","MES 入库接口仅支持移动类型：{0}"
"缺少物料移动公司","缺少物料移动公司"
"第 {0} 行缺少目标仓库","第 {0} 行缺少目标仓库"
"物料移动草稿已创建，可在 ERP 审核后直接提交。","物料移动草稿已创建，可在 ERP 审核后直接提交。"
"第 {0} 行缺少单位换算系数，且物料 {1} 没有单位 {2} 的换算设置","第 {0} 行缺少单位换算系数，且物料 {1} 没有单位 {2} 的换算设置"
"需求量","需求量"
"Material Issue","物料发料"
"MES Delivery Note Draft Create","MES 创建销售出库草稿"
"Document Submitted","单据已提交"
"Document Created","单据已创建"
"Stock Entry Issue Confirm","物料移动发料确认"
"Batch No","批次号"
"Material Request Created","领料申请"
"Ready to Deliver","可发货"
"Pending Release","待放行发货"
"发货放行状态","发货放行状态"
"销售出库关联的销售订单尚未全部放行发货，不能提交。","销售出库关联的销售订单尚未全部放行发货，不能提交。"
"Delivered","已发货"
"发料并推送至DLM","发料并推送至DLM"
"请确认本次发料数量和发料仓，确认后将自动创建并提交物料移动，然后推送至 DLM。","请确认本次发料数量和发料仓，确认后将自动创建并提交物料移动，然后推送至 DLM。"
"本次发料数量","本次发料数量"
"剩余数量","剩余数量"
"已发料数量","已发料数量"
"发料仓","发料仓"
"确认发料并推送至 DLM？","确认发料并推送至 DLM？"
"正在创建物料移动并推送至 DLM，请稍候...","正在创建物料移动并推送至 DLM，请稍候..."
"没有可发料的明细","没有可发料的明细"
"第 {0} 行本次发料数量不能超过剩余数量","第 {0} 行本次发料数量不能超过剩余数量"
"第 {0} 行缺少发料仓","第 {0} 行缺少发料仓"
"发料或推送过程中发生错误，请查看错误日志或联系管理员。","发料或推送过程中发生错误，请查看错误日志或联系管理员。"
"物料移动 {0} 已创建并提交，但推送至 DLM 失败，请手动推送。","物料移动 {0} 已创建并提交，但推送至 DLM 失败，请手动推送。"
"物料移动 {0} 已创建、提交并推送至 DLM。","物料移动 {0} 已创建、提交并推送至 DLM。"
"物料需求必须已提交","物料需求必须已提交"
"已停止或已取消的物料需求不能发料","已停止或已取消的物料需求不能发料"
"只有物料发料、工单发料、注塑发料可以发料并推送至 DLM","只有物料发料、工单发料、注塑发料可以发料并推送至 DLM"
"缺少发料明细或发料明细格式不正确","缺少发料明细或发料明细格式不正确"
"第 {0} 行物料需求明细不存在或不属于当前物料需求","第 {0} 行物料需求明细不存在或不属于当前物料需求"
"第 {0} 行物料编码与物料需求明细不一致","第 {0} 行物料编码与物料需求明细不一致"
"第 {0} 行本次发料数量必须大于 0","第 {0} 行本次发料数量必须大于 0"
"第 {0} 行本次发料数量 {1} 超过剩余数量 {2}","第 {0} 行本次发料数量 {1} 超过剩余数量 {2}"
"需求数量","需求数量"
"实际数量","实际数量"
"预计剩余数量","预计剩余数量"
