"移动作业","Operaciones móviles"
"移动作业登录","Inicio de operaciones móviles"
"移动物料需求","Solicitudes de materiales móviles"
"登录到{0}","Iniciar sesión en {0}"
"使用账号密码或企业登录方式继续","Continúe con su cuenta, contraseña o inicio de sesión empresarial"
"显示密码","Mostrar contraseña"
"显示","Mostrar"
"隐藏","Ocultar"
"忘记密码?","¿Olvidó su contraseña?"
"请输入账号邮箱，我们会发送重置密码链接","Introduzca el correo de su cuenta y enviaremos un enlace para restablecer la contraseña"
"邮箱","Correo electrónico"
"发送重置链接","Enviar enlace de restablecimiento"
"返回登录","Volver al inicio de sesión"
"或","O"
"通过{0}登录","Iniciar sesión con {0}"
"通过邮箱链接登录","Iniciar sesión mediante enlace de correo"
"请输入邮箱","Introduzca el correo electrónico"
"发送登录链接","Enviar enlace de inicio de sesión"
"使用标准登录页","Usar la página de inicio de sesión estándar"
"登录失败，请检查账号和密码","No se pudo iniciar sesión. Compruebe el usuario y la contraseña"
"登录链接已发送，请检查邮箱","Se envió el enlace de inicio de sesión. Revise su correo"
"登录链接发送失败，请稍后重试","No se pudo enviar el enlace de inicio de sesión. Inténtelo más tarde"
"正在登录...","Iniciando sesión..."
"当前账号需要二次验证，请先使用标准登录页完成验证","Esta cuenta requiere verificación en dos pasos. Complétela primero en la página de inicio de sesión estándar"
"登录未完成，请重试","El inicio de sesión no se completó. Inténtelo de nuevo"
"操作失败，请稍后重试","La operación falló. Inténtelo más tarde"
"如果账号存在，重置密码邮件已发送，请查收邮箱","Si la cuenta existe, se envió un correo para restablecer la contraseña. Revise su correo"
"菜单","Menú"
"刷新","Actualizar"
"首页","Inicio"
"物料需求","Solicitudes de materiales"
"库存","Inventario"
"生产","Producción"
"更多","Más"
"库存与生产现场处理入口","Acceso móvil a las operaciones de inventario y producción"
"工作提醒","Recordatorios de trabajo"
"需要及时处理","Requiere atención"
"待处理物料需求","Solicitudes de materiales pendientes"
"待提交物料移动","Movimientos pendientes de envío"
"MES 待推送","Pendientes de envío a MES"
"库存作业","Operaciones de inventario"
"查看全部","Ver todo"
"查看和创建物料需求","Ver y crear solicitudes de materiales"
"查看、创建和处理物料需求","Ver, crear y procesar solicitudes de materiales"
"提交和处理物料移动","Enviar y procesar movimientos de inventario"
"提交单据和处理 MES 推送","Enviar documentos y procesar envíos de MES"
"按物料或仓库查询库存","Consultar stock por artículo o almacén"
"异常处理","Gestión de excepciones"
"查看生产异常","Ver excepciones de producción"
"库存人员常用作业入口","Operaciones habituales de inventario"
"进入","Abrir"
"库存相关功能已集中到这里，底部导航可随时返回库存工作台","Las funciones de inventario están reunidas aquí. Use la navegación inferior para volver al espacio de inventario en cualquier momento."
