"移动作业","Mobile Operations"
"移动作业登录","Mobile Operations Login"
"移动物料需求","Mobile Material Requests"
"登录到{0}","Log in to {0}"
"使用账号密码或企业登录方式继续","Continue with your account password or enterprise login"
"显示密码","Show password"
"显示","Show"
"隐藏","Hide"
"忘记密码?","Forgot password?"
"请输入账号邮箱，我们会发送重置密码链接","Enter your account email and we will send a password reset link"
"邮箱","Email"
"发送重置链接","Send reset link"
"返回登录","Back to login"
"或","Or"
"通过{0}登录","Log in with {0}"
"通过邮箱链接登录","Log in with email link"
"请输入邮箱","Enter email"
"发送登录链接","Send login link"
"使用标准登录页","Use standard login page"
"登录失败，请检查账号和密码","Login failed. Check your username and password"
"登录链接已发送，请检查邮箱","The login link was sent. Check your email"
"登录链接发送失败，请稍后重试","Failed to send the login link. Try again later"
"正在登录...","Logging in..."
"当前账号需要二次验证，请先使用标准登录页完成验证","This account requires two-factor verification. Complete verification on the standard login page first"
"登录未完成，请重试","Login was not completed. Try again"
"操作失败，请稍后重试","Operation failed. Try again later"
"如果账号存在，重置密码邮件已发送，请查收邮箱","If the account exists, a password reset email has been sent. Check your email"
"菜单","Menu"
"刷新","Refresh"
"首页","Home"
"物料需求","Material Requests"
"库存","Inventory"
"生产","Production"
"更多","More"
"库存与生产现场处理入口","Mobile entry for on-site inventory and production operations"
"工作提醒","Work Reminders"
"需要及时处理","Needs attention"
"待处理物料需求","Pending Material Requests"
"待提交物料移动","Stock Movements to Submit"
"MES 待推送","MES Pending Push"
"库存作业","Inventory Operations"
"查看全部","View all"
"查看和创建物料需求","View and create material requests"
"查看、创建和处理物料需求","View, create, and process material requests"
"提交和处理物料移动","Submit and process stock movements"
"提交单据和处理 MES 推送","Submit documents and process MES pushes"
"按物料或仓库查询库存","Search stock by item or warehouse"
"异常处理","Exception Handling"
"查看生产异常","View production exceptions"
"库存人员常用作业入口","Common inventory operations"
"进入","Open"
"库存相关功能已集中到这里，底部导航可随时返回库存工作台","Inventory functions are collected here. Use the bottom navigation to return to the inventory workspace at any time."
"账户与系统功能","Account and system functions"
"使用标准电脑端","Use the standard desktop site"
"低频功能和系统设置将逐步在这里接入","Less frequently used functions and system settings will be added here gradually"
"库存查询页面将在这里接入物料、仓库和实时库存筛选。","The inventory query page will provide item, warehouse, and real-time stock filters here."
"库存查询","Inventory Query"
"快捷操作","Quick Actions"
"查看待处理需求","View pending requests"
"按物料或仓库查询","Search by item or warehouse"
"物料移动","Stock Movement"
"登记现场物料移动","Record an on-site stock movement"
"库存转移和发料单据","Stock transfer and issue documents"
"物料移动单","Stock Movement Documents"
"搜索单号、物料或仓库","Search number, item, or warehouse"
"已提交","Submitted"
"已取消","Cancelled"
"已推送","Pushed"
"待推送","Pending Push"
"全部","All"
"当前筛选条件下没有物料移动","No stock movements match the current filters"
"物料移动加载失败，请点击右上角重试","Failed to load stock movements. Click refresh in the upper-right corner to try again"
"未找到物料移动","Stock movement not found"
"单据编号","Document Number"
"记账日期","Posting Date"
"关联物料需求","Linked Material Request"
"提交物料移动","Submit stock movement"
